Key Participants,Description
Initiator,Anyone can introduce a Project Initiation Request.
Project Owner (PO),The main beneficiary of the project’s outputs usually nominates a Project Owner (PO).
Solution Provider (SP),The organisational unit that will carry out the project work nominates a Solution Provider (SP).
Approver,"Depending on the project, the Project Owner (PO) or a higher-level Appropriate Governance Body (AGB) can accept the Project Initiation Request and authorise work on a more elaborate Business Case."
