Artefact Type,Description
Management Plans (standard),"These plans define the various processes to be used (e.g. for Risk Management). PM² provides Management Plan templates along with guidelines on how to tailor and customise them to the project’s context and needs."
Project Plans (specific),"These plans are specific to the project (e.g. the Project Work Plan) and are built according to the project needs and the team’s analysis and experience. PM² provides templates and guidelines for these plans."
Other (domain specific), "These artefacts are specific to the project domain (e.g. system models for IT projects). PM² does not provide templates for these artefacts."
