Gantt Chart,"A Gantt chart is a type of bar chart that represents a project schedule. It may show information such as activities, start and end dates, duration and the relation between activities."
Goal,"A goal is the result or achievement toward which effort is directed. Goals are broad statements of achievable outcomes, consistent with the mission statement of a programme or organisation."
Governance,"Governance refers to the act of governing and is therefore concerned with how decisions are made. Governance is a process of developing a more strategic approach to projects/programmes in order to use resources and investments more efficiently and to ensure that business needs are supported by efficient tools. This process is performed by the organisation’s governance bodies (See Appropriate Governance Body, AGB). PM² describes project-level governance and includes a project governance model, project lifecycle, and related processes and artefacts."
