Urgency,Urgency is a measure of the time that it will take until an issue affects project objectives or activities.
User Acceptance Test (UAT),A user acceptance test (UAT) ensures that a deliverable meets user expectations. These tests are usually already described in a test plan.
User Representatives (URs),User Representatives (URs) is a role that represents the interests of the users to the project and ensures that the project specifications and deliverables meet the needs of all users. They can perform user acceptance tests (UATs) and are considered as optional participants of the Project Steering Committee (PSC).
